Country,Year,World bank region,Birth Rate,Death Rate,Fertility Rate,"Life Expectancy at Birth, Female","Life Expectancy at Birth, Male","Life Expectancy at Birth, Total",Mobile Cellular Subscriptions per 100 People,Telephone Lines per 100 People,Agricultural Land Percent,Arable Land Percent,Urban Population Percent,Color
Cambodia,2010,East Asia & Pacific,26.266,6.202,3.007,72.87,67.556,70.14819512,44.31490591,0.383195262,31.46952187,22.09381373,19.666,#F95454
Cambodia,2011,East Asia & Pacific,26.225,6.122,2.966,73.379,68.038,70.64336585,56.74071111,2.498097624,32.03602991,22.66032178,19.81,#F95454
Cambodia,2012,East Asia & Pacific,26.109,6.066,2.929,73.798,68.435,71.05109756,94.18821019,3.628680046,32.03602991,22.66032178,19.967,#F95454
Cambodia,2013,East Asia & Pacific,25.917,6.024,2.894,74.167,68.782,71.40882927,128.5272115,3.93198062,32.60253796,23.22682982,20.137,#F95454
New Zealand,1960,East Asia & Pacific,29.3605,9.027,4.1325,69.0135,65.3855,67.1552561,89.73570538,12.01279558,33.32306524,4.63867368,81.1825,#F95454
New Zealand,1961,East Asia & Pacific,26.5,8.8,4.129,73.9,68.7,71.23658537,0,22.64059865,46.62051633,8.016044143,75.998,#F95454
New Zealand,1962,East Asia & Pacific,27.1,9,4.099,73.7,68.4,70.98536585,0,23.55387094,59.91796741,11.39341461,76.525,#F95454
New Zealand,1963,East Asia & Pacific,26.2,8.9,4.107,74.1,68.5,71.23170732,0,24.46714324,60.2217918,11.35543656,77.133,#F95454
New Zealand,1964,East Asia & Pacific,25.5,8.9,3.989,74.2,68.5,71.2804878,0,25.38041553,60.35851278,11.33644753,77.73,#F95454
New Zealand,1965,East Asia & Pacific,24.2,8.8,3.733,74.3,68.5,71.32926829,0,26.29368782,60.44586229,11.31745851,78.317,#F95454
New Zealand,1966,East Asia & Pacific,22.9,8.7,3.54,74.3,68.3,71.22682927,0,27.20696011,60.20280278,11.31745851,78.891,#F95454
New Zealand,1967,East Asia & Pacific,22.5,8.9,3.41,74.3,68.1,71.12439024,0,27.7309596,60.11165546,11.29846948,79.421,#F95454
New Zealand,1968,East Asia & Pacific,22.5,8.4,3.354,74.7,68.4,71.47317073,0,28.25495908,60.17242034,11.29846948,79.852,#F95454
New Zealand,1969,East Asia & Pacific,22.7,8.9,3.332,74.3,68.1,71.12439024,0,28.77895857,60.15722912,11.27948046,80.277,#F95454
New Zealand,1970,East Asia & Pacific,22.3,8.6,3.269,74.7,68.4,71.47317073,0,29.30295805,59.56097376,11.27948046,80.695,#F95454
New Zealand,1971,East Asia & Pacific,22.1,8.8,3.158,74.5,68.2,71.27317073,0,29.82695754,59.53818693,11.26049144,81.106,#F95454
New Zealand,1972,East Asia & Pacific,22.6,8.5,3.194,75,68.7,71.77317073,0,30.26419611,59.51160229,11.24150241,81.491,#F95454
New Zealand,1973,East Asia & Pacific,21.8,8.5,3,74.8,69,71.82926829,0,30.70143467,60.996544,11.20732217,81.819,#F95454
New Zealand,1974,East Asia & Pacific,20.5,8.6,2.696,75.1,68.4,71.66829268,0,31.13867324,60.84842961,11.05920778,82.141,#F95454
New Zealand,1975,East Asia & Pacific,19.6,8.3,2.57,75.1,68.9,71.92439024,0,31.5759118,60.7610801,10.97185827,82.46,#F95454
New Zealand,1976,East Asia & Pacific,18.3,8.1,2.331,75.6,69,72.2195122,0,32.01315037,62.20424595,10.70601193,82.774,#F95454
New Zealand,1977,East Asia & Pacific,17.7,8.1,2.273,75.7,69.3,72.42195122,0,33.93350295,63.48030838,10.48573924,83.028,#F95454
New Zealand,1978,East Asia & Pacific,17.3,8.3,2.229,75.6,68.9,72.16829268,0,34.28599791,63.08533668,10.39079412,83.128,#F95454
New Zealand,1979,East Asia & Pacific,16.3,7.9,2.07,76.4,69.8,73.0195122,0,34.89915129,63.79172838,10.26166876,83.229,#F95454
New Zealand,1980,East Asia & Pacific,16.8,8.1,2.12,76.5,69.8,73.06829268,0,35.16579816,63.36257643,10.10595876,83.328,#F95454
New Zealand,1981,East Asia & Pacific,16.2,8.5,2.03,75.8,70,72.82926829,0,36.11016582,63.82970643,9.935057537,83.428,#F95454
New Zealand,1982,East Asia & Pacific,16.2,8,2.01,76.9,70.5,73.62195122,0,37.06556534,65.82355399,9.722380464,83.511,#F95454
New Zealand,1983,East Asia & Pacific,15.8,8,1.95,76.9,70.7,73.72439024,0,37.55647695,63.53347765,9.673009001,83.552,#F95454
New Zealand,1984,East Asia & Pacific,15.8,8.1,1.92,76.9,70.8,73.77560976,0,38.10472099,63.53727545,9.817325586,83.592,#F95454
New Zealand,1985,East Asia & Pacific,16,8.2,1.93,77.7,71.2,74.37073171,0,38.83852625,62.96380692,9.729976074,83.633,#F95454
New Zealand,1986,East Asia & Pacific,15.9,8.4,1.93,76.8,71,73.82926829,0,39.6187608,62.45869887,9.578063879,83.673,#F95454
New Zealand,1987,East Asia & Pacific,16.3,8.3,1.96,77.4,71,74.12195122,0,40.3496451,62.69796058,9.817325586,83.78,#F95454
New Zealand,1988,East Asia & Pacific,16.8,8.4,2.03,77.2,71.3,74.17804878,0.072487362,41.3782022,62.54984619,9.935057537,84.025,#F95454
New Zealand,1989,East Asia & Pacific,17.3,8.4,2.1,77.6,71.4,74.42439024,0.300048188,42.1867752,62.03714253,9.566670464,84.268,#F95454
New Zealand,1990,East Asia & Pacific,17.5,8.2,2.12,78,71.8,74.82439024,0.859906886,42.96558974,61.73711595,9.623637538,84.506,#F95454
New Zealand,1991,East Asia & Pacific,17.5,8.1,2.18,78.4,72.5,75.37804878,1.592120973,43.23152882,61.45607839,10.04519388,84.742,#F95454
New Zealand,1992,East Asia & Pacific,17.4,8,2.16,78.9,73.3,76.03170732,2.098081692,43.32553203,61.21681668,8.947628271,84.933,#F95454
New Zealand,1993,East Asia & Pacific,17.28,7.85,2.12,79.3,73.1,76.12439024,2.860303301,43.78947368,60.61296571,7.880445103,85.034,#F95454
Solomon Islands,1980,East Asia & Pacific,44.977,10.716,6.871,59.469,57.982,58.70736585,0,1.437690684,2.107895677,0.428724544,10.235,#F95454
Solomon Islands,1981,East Asia & Pacific,44.203,10.525,6.748,59.637,58.18,58.89073171,0,1.161298567,2.107895677,0.428724544,10.576,#F95454
Solomon Islands,1982,East Asia & Pacific,43.504,10.442,6.632,59.603,58.198,58.88336585,0,0.88490645,2.107895677,0.428724544,10.927,#F95454
Solomon Islands,1983,East Asia & Pacific,42.894,10.47,6.525,59.361,58.029,58.6787561,0,0.608514333,2.215076813,0.46445159,11.288,#F95454
Solomon Islands,1984,East Asia & Pacific,42.376,10.597,6.431,58.936,57.697,58.30139024,0,0.667708816,2.215076813,0.46445159,11.659,#F95454
Solomon Islands,1985,East Asia & Pacific,41.954,10.798,6.349,58.375,57.242,57.79468293,0,0.761269646,2.286530904,0.46445159,12.041,#F95454
Solomon Islands,1986,East Asia & Pacific,41.617,11.028,6.278,57.768,56.747,57.24504878,0,0.824935656,2.286530904,0.46445159,12.433,#F95454
Solomon Islands,1987,East Asia & Pacific,41.333,11.228,6.211,57.222,56.308,56.75385366,0,0.890097043,2.357984995,0.46445159,12.837,#F95454
Solomon Islands,1988,East Asia & Pacific,41.057,11.35,6.139,56.832,56.01,56.41097561,0,0.969784012,2.322257949,0.357270454,13.111,#F95454
Solomon Islands,1989,East Asia & Pacific,40.752,11.358,6.056,56.664,55.909,56.27729268,0,1.084885511,2.39371204,0.357270454,13.298,#F95454
Solomon Islands,1990,East Asia & Pacific,40.402,11.24,5.961,56.746,56.027,56.37773171,0,1.236570841,2.429439085,0.392997499,13.486,#F95454
Solomon Islands,1991,East Asia & Pacific,39.996,11.002,5.851,57.072,56.355,56.7047561,0,1.499122973,2.429439085,0.392997499,13.677,#F95454
Solomon Islands,1992,East Asia & Pacific,39.531,10.669,5.728,57.598,56.848,57.21385366,0,1.512015064,2.465166131,0.392997499,13.87,#F95454
Solomon Islands,1993,East Asia & Pacific,39.028,10.29,5.596,58.236,57.426,57.82112195,0,1.558560415,2.536620222,0.392997499,14.065,#F95454
Solomon Islands,1994,East Asia & Pacific,38.508,9.906,5.461,58.913,58.018,58.45458537,0,1.608294795,2.536620222,0.392997499,14.262,#F95454
Solomon Islands,1995,East Asia & Pacific,37.984,9.536,5.326,59.599,58.593,59.08373171,0.04123121,1.723693629,2.572347267,0.392997499,14.462,#F95454
Solomon Islands,1996,East Asia & Pacific,37.476,9.191,5.197,60.286,59.134,59.69595122,0.064024764,1.809952232,2.608074312,0.428724544,14.664,#F95454
Solomon Islands,1997,East Asia & Pacific,37.002,8.869,5.077,60.986,59.64,60.29658537,0.091219389,1.951607708,2.608074312,0.428724544,14.869,#F95454
Solomon Islands,1998,East Asia & Pacific,36.573,8.559,4.968,61.723,60.133,60.90860976,0.173221257,2.025740995,2.608074312,0.428724544,15.076,#F95454
Solomon Islands,1999,East Asia & Pacific,36.196,8.253,4.872,62.504,60.629,61.54363415,0.179772749,2.024876246,2.643801358,0.46445159,15.285,#F95454
Solomon Islands,2000,East Asia & Pacific,35.873,7.955,4.789,63.309,61.126,62.19087805,0.272349205,2.026298019,2.715255448,0.500178635,15.496,#F95454
Solomon Islands,2001,East Asia & Pacific,35.607,7.671,4.72,64.108,61.626,62.83673171,0.279141283,1.864741376,2.715255448,0.500178635,15.813,#F95454
Solomon Islands,2002,East Asia & Pacific,35.397,7.408,4.665,64.868,62.13,63.46560976,0.228319666,1.744626696,2.750982494,0.535905681,16.201,#F95454
Solomon Islands,2003,East Asia & Pacific,35.227,7.169,4.618,65.559,62.637,64.06236585,0.229718543,1.517889993,2.822436584,0.535905681,16.597,#F95454
Solomon Islands,2004,East Asia & Pacific,35.073,6.957,4.578,66.164,63.138,64.61409756,0.237489778,1.397604938,2.965344766,0.571632726,17.001,#F95454
Solomon Islands,2005,East Asia & Pacific,34.915,6.774,4.54,66.672,63.628,65.11287805,0.655269348,1.520661735,2.965344766,0.571632726,17.413,#F95454
Solomon Islands,2006,East Asia & Pacific,34.724,6.617,4.502,67.087,64.093,65.5534878,1.278483548,1.57828794,3.179707038,0.571632726,17.832,#F95454
Solomon Islands,2007,East Asia & Pacific,34.473,6.485,4.459,67.421,64.52,65.93512195,1.456073386,1.580879676,3.179707038,0.571632726,18.259,#F95454
Solomon Islands,2008,East Asia & Pacific,34.146,6.371,4.412,67.704,64.9,66.26780488,2.21478092,1.584889098,3.179707038,0.571632726,18.694,#F95454
Solomon Islands,2009,East Asia & Pacific,33.74,6.27,4.359,67.96,65.231,66.56221951,5.957806812,1.588748483,3.215434084,0.607359771,19.138,#F95454
Solomon Islands,2010,East Asia & Pacific,33.254,6.179,4.3,68.204,65.513,66.82568293,9.709416581,1.592344319,3.251161129,0.643086817,19.589,#F95454
Solomon Islands,2011,East Asia & Pacific,32.698,6.092,4.236,68.446,65.753,67.06665854,21.93953048,1.595602216,3.251161129,0.643086817,20.048,#F95454
Solomon Islands,2012,East Asia & Pacific,32.086,6.009,4.168,68.69,65.961,67.29221951,51.09173471,1.559674125,3.251161129,0.643086817,20.506,#F95454
Solomon Islands,2013,East Asia & Pacific,31.45,5.93,4.099,68.932,66.15,67.50707317,54.97600064,1.466526443,3.822793855,0.678813862,20.964,#F95454
Mongolia,1980,East Asia & Pacific,39.145,12.979,6.395,59.295,54.548,56.86360976,0,46.670971,80.27562502,0.746672159,51.488,#F95454
Mongolia,1981,East Asia & Pacific,38.809,12.851,6.209,59.361,54.606,56.9255122,0,31.9184175,80.19452097,0.760833183,52.083,#F95454
Mongolia,1982,East Asia & Pacific,38.583,12.689,6.033,59.499,54.745,57.06402439,0,17.165864,80.15075053,0.78014367,52.676,#F95454
Mongolia,1983,East Asia & Pacific,38.429,12.489,5.864,59.714,54.972,57.28517073,0,2.413310503,80.15461263,0.805247303,53.268,#F95454
Mongolia,1984,East Asia & Pacific,38.29,12.248,5.696,60.004,55.282,57.58541463,0,2.46817291,80.44491362,0.84451196,53.86,#F95454
Mongolia,1985,East Asia & Pacific,38.11,11.967,5.526,60.364,55.666,57.95770732,0,2.511914223,80.20739463,0.858672983,54.452,#F95454
Mongolia,1986,East Asia & Pacific,37.794,11.655,5.345,60.781,56.095,58.38085366,0,2.549585536,80.19452097,0.870902958,55.04,#F95454
Mongolia,1987,East Asia & Pacific,37.241,11.322,5.14,61.233,56.533,58.82568293,0,2.58056812,80.15847473,0.840649862,55.628,#F95454
Mongolia,1988,East Asia & Pacific,36.404,10.985,4.906,61.689,56.942,59.25760976,0,2.606539858,80.38891321,0.858672983,56.215,#F95454
Mongolia,1989,East Asia & Pacific,35.272,10.658,4.644,62.124,57.293,59.64958537,0,2.631930291,80.6109838,0.878627153,56.8,#F95454
Mongolia,1990,East Asia & Pacific,33.863,10.348,4.356,62.521,57.579,59.98973171,0,2.662287437,80.80280131,0.884420299,57.078,#F95454
Mongolia,1991,East Asia & Pacific,32.226,10.058,4.052,62.86,57.804,60.27034146,0,3.038102995,80.88261799,0.881845568,57.033,#F95454
Mongolia,1992,East Asia & Pacific,30.441,9.79,3.746,63.124,57.985,60.49182927,0,3.087553885,81.18772368,0.880558202,56.987,#F95454
Mongolia,1993,East Asia & Pacific,28.621,9.536,3.451,63.325,58.155,60.67695122,0,3.085546183,79.55276912,0.876696104,56.942,#F95454
Mongolia,1994,East Asia & Pacific,26.874,9.29,3.18,63.482,58.339,60.84778049,0,2.933823607,76.67808131,0.870259275,56.896,#F95454
Mongolia,1995,East Asia & Pacific,25.266,9.052,2.941,63.619,58.546,61.02063415,0,3.030625923,76.25646901,0.850305106,56.851,#F95454
Mongolia,1996,East Asia & Pacific,23.842,8.818,2.738,63.774,58.779,61.21558537,0,3.383066522,76.25646901,0.850305106,56.805,#F95454
Mongolia,1997,East Asia & Pacific,22.608,8.585,2.57,63.993,59.034,61.45302439,0.038850072,3.612538731,76.25646901,0.850305106,56.76,#F95454
Mongolia,1998,East Asia & Pacific,21.539,8.352,2.43,64.308,59.297,61.74139024,0.085626592,3.737986054,82.96493216,0.789798913,56.714,#F95454
Mongolia,1999,East Asia & Pacific,20.619,8.123,2.312,64.734,59.561,62.08441463,0.383423798,4.387511048,83.12005973,0.866397178,56.669,#F95454
Mongolia,2000,East Asia & Pacific,19.869,7.899,2.216,65.268,59.825,62.48012195,1.454509033,4.351491059,83.86029506,0.765982646,56.623,#F95454
Mongolia,2001,East Asia & Pacific,19.333,7.686,2.144,65.897,60.092,62.92370732,6.448456354,4.900993671,83.98130745,0.75568372,57.133,#F95454
Mongolia,2002,East Asia & Pacific,19.061,7.491,2.102,66.59,60.367,63.40260976,8.058953518,5.137686188,83.48824635,0.483405855,58.222,#F95454
Mongolia,2003,East Asia & Pacific,19.059,7.319,2.089,67.3,60.654,63.89595122,8.840752266,5.238964306,83.4824532,0.486624269,59.304,#F95454
Mongolia,2004,East Asia & Pacific,19.305,7.174,2.103,67.984,60.954,64.38326829,12.92233031,5.595774114,73.24853884,0.453152759,60.378,#F95454
Mongolia,2005,East Asia & Pacific,19.757,7.056,2.141,68.618,61.265,64.85182927,17.1735741,5.848016703,73.17503025,0.453152759,61.443,#F95454
Mongolia,2006,East Asia & Pacific,20.353,6.967,2.193,69.181,61.58,65.28780488,22.05448482,6.176326003,73.02543835,0.447359613,62.494,#F95454
Mongolia,2007,East Asia & Pacific,21.02,6.904,2.254,69.662,61.893,65.6827561,30.27549174,7.623453993,73.53948351,0.448003296,63.535,#F95454
Mongolia,2008,East Asia & Pacific,21.675,6.862,2.315,70.072,62.195,66.03743902,46.03282072,7.068793573,73.51373619,0.452509076,64.564,#F95454
Mongolia,2009,East Asia & Pacific,22.246,6.835,2.368,70.426,62.482,66.35712195,66.96882523,7.615140187,73.47254049,0.536831535,65.581,#F95454
Mongolia,2010,East Asia & Pacific,22.678,6.818,2.41,70.727,62.75,66.64121951,84.16299837,7.068085261,73.17129689,0.400370761,66.58,#F95454
Mongolia,2011,East Asia & Pacific,22.931,6.807,2.437,70.985,62.999,66.89460976,92.54376943,7.123393413,73.1146528,0.395864981,67.567,#F95454
Mongolia,2012,East Asia & Pacific,22.989,6.798,2.447,71.211,63.233,67.12470732,106.8296923,6.809977021,73.06251448,0.393933932,68.538,#F95454
Mongolia,2013,East Asia & Pacific,22.887,6.791,2.446,71.416,63.457,67.33943902,120.6945936,6.318863258,72.99093694,0.417106517,69.472,#F95454
Vanuatu,1980,East Asia & Pacific,39.374,10.506,5.645,59.758,56.207,57.93919512,0,8.869509818,10.50041017,1.47662018,14.368,#F95454
Vanuatu,1981,East Asia & Pacific,39.108,10.2,5.575,60.382,56.791,58.54270732,0,6.349461216,10.50041017,1.47662018,14.74,#F95454
Vanuatu,1982,East Asia & Pacific,38.812,9.918,5.503,60.966,57.363,59.12056098,0,3.829412614,10.74651354,1.558654635,15.12,#F95454
Vanuatu,1983,East Asia & Pacific,38.495,9.661,5.43,61.497,57.92,59.66487805,0,1.309364011,10.82854799,1.558654635,15.508,#F95454
Vanuatu,1984,East Asia & Pacific,38.166,9.428,5.356,61.973,58.457,60.17212195,0,1.394791063,11.07465135,1.640689089,15.905,#F95454
Vanuatu,1985,East Asia & Pacific,37.829,9.217,5.282,62.395,58.973,60.64226829,0,1.406045919,11.07465135,1.640689089,16.31,#F95454
Vanuatu,1986,East Asia & Pacific,37.494,9.025,5.209,62.775,59.47,61.08219512,0,1.20512505,11.23872026,1.640689089,16.722,#F95454
Vanuatu,1987,East Asia & Pacific,37.171,8.844,5.141,63.131,59.951,61.50221951,0,1.538634997,11.56685808,1.640689089,17.143,#F95454
Vanuatu,1988,East Asia & Pacific,36.868,8.67,5.078,63.484,60.42,61.91463415,0,1.616114127,11.73092699,1.640689089,17.573,#F95454
Vanuatu,1989,East Asia & Pacific,36.585,8.495,5.022,63.854,60.882,62.3317561,0,1.650295259,12.05906481,1.640689089,18.011,#F95454
Vanuatu,1990,East Asia & Pacific,36.322,8.316,4.971,64.248,61.339,62.75802439,0,1.680060482,12.22313372,1.640689089,18.435,#F95454
Vanuatu,1991,East Asia & Pacific,36.076,8.133,4.927,64.673,61.791,63.19685366,0,1.773134288,12.46923708,1.640689089,18.715,#F95454
Vanuatu,1992,East Asia & Pacific,35.842,7.947,4.887,65.127,62.239,63.64778049,0,2.020838446,12.63330599,1.640689089,18.998,#F95454
Vanuatu,1993,East Asia & Pacific,35.609,7.76,4.85,65.598,62.68,64.10341463,0,2.29641463,12.87940935,1.640689089,19.285,#F95454
Vanuatu,1994,East Asia & Pacific,35.362,7.577,4.814,66.078,63.113,64.55934146,0,2.55171637,13.04347826,1.640689089,19.574,#F95454
Vanuatu,1995,East Asia & Pacific,35.092,7.395,4.775,66.56,63.538,65.01214634,0.038974721,2.688037805,13.12551272,1.640689089,19.868,#F95454
Vanuatu,1996,East Asia & Pacific,34.783,7.212,4.73,67.041,63.953,65.45934146,0.071922775,2.505409068,13.53568499,1.640689089,20.164,#F95454
Vanuatu,1997,East Asia & Pacific,34.42,7.025,4.677,67.517,64.359,65.8994878,0.089638072,2.601832342,13.6997539,1.640689089,20.464,#F95454
Vanuatu,1998,East Asia & Pacific,34.002,6.832,4.614,67.985,64.754,66.33009756,0.118283011,2.74279445,13.78178835,1.640689089,20.766,#F95454
Vanuatu,1999,East Asia & Pacific,33.53,6.634,4.542,68.444,65.139,66.75119512,0.123544145,2.903287397,14.10992617,1.640689089,21.073,#F95454
Vanuatu,2000,East Asia & Pacific,33.009,6.431,4.459,68.889,65.513,67.15982927,0.165429621,3.03287638,14.19196062,1.640689089,21.382,#F95454
Vanuatu,2001,East Asia & Pacific,32.443,6.227,4.368,69.319,65.875,67.555,0.197235461,3.588064283,14.35602953,1.640689089,21.673,#F95454
Vanuatu,2002,East Asia & Pacific,31.842,6.026,4.268,69.732,66.223,67.93470732,0.184906358,3.572390839,14.52009844,1.640689089,21.953,#F95454
Vanuatu,2003,East Asia & Pacific,31.222,5.832,4.162,70.129,66.558,68.29995122,2.526424336,3.408610467,14.6021329,1.640689089,22.235,#F95454
Vanuatu,2004,East Asia & Pacific,30.602,5.649,4.056,70.512,66.88,68.65170732,3.920543649,3.287225059,14.7662018,1.640689089,22.521,#F95454
Vanuatu,2005,East Asia & Pacific,29.999,5.482,3.95,70.88,67.19,68.99,5.145614422,3.311044162,14.84823626,1.640689089,22.809,#F95454
Vanuatu,2006,East Asia & Pacific,29.434,5.334,3.851,71.234,67.491,69.31685366,6.061850746,3.326089552,15.01230517,1.640689089,23.099,#F95454
Vanuatu,2007,East Asia & Pacific,28.925,5.207,3.76,71.577,67.785,69.6347561,6.987989975,3.493994987,15.17637408,1.640689089,23.392,#F95454
Vanuatu,2008,East Asia & Pacific,28.474,5.101,3.679,71.909,68.073,69.94421951,11.8181281,4.009072686,15.34044299,1.640689089,23.687,#F95454
Vanuatu,2009,East Asia & Pacific,28.082,5.013,3.608,72.233,68.357,70.24773171,15.97174775,4.614060462,15.34044299,1.640689089,23.985,#F95454
Vanuatu,2010,East Asia & Pacific,27.743,4.941,3.549,72.549,68.638,70.54580488,57.04643617,3.127369137,15.34044299,1.640689089,24.286,#F95454
Vanuatu,2011,East Asia & Pacific,27.447,4.882,3.499,72.859,68.915,70.83890244,71.91524298,3.009322934,15.34044299,1.640689089,24.589,#F95454
Vanuatu,2012,East Asia & Pacific,27.175,4.834,3.456,73.163,69.19,71.12804878,64.44796466,2.429087841,15.34044299,1.640689089,24.894,#F95454
Vanuatu,2013,East Asia & Pacific,26.907,4.791,3.419,73.461,69.458,71.41068293,59.08065129,2.159248085,15.34044299,1.640689089,25.2,#F95454
China,1980,East Asia & Pacific,17.82,6.21,2.813,68.346,65.254,66.76229268,0,0.209499555,45.07655846,10.27369318,18.617,#F95454
China,1981,East Asia & Pacific,18.21,6.34,2.71,68.594,65.528,67.02360976,0,0.217547347,45.54672063,10.24418821,19.358,#F95454
China,1982,East Asia & Pacific,20.91,6.36,2.673,68.866,65.804,67.29765854,0,0.222518293,46.11178867,10.30969563,20.118,#F95454
China,1983,East Asia & Pacific,22.28,6.6,2.682,69.143,66.076,67.57209756,0,0.231350303,47.13530211,10.8326898,20.902,#F95454
China,1984,East Asia & Pacific,20.19,6.9,2.72,69.411,66.337,67.8365122,0,0.244019216,48.24413496,11.42918009,21.545,#F95454
China,1985,East Asia & Pacific,19.9,6.82,2.769,69.672,66.589,68.09290244,0,0.265634135,49.48068064,12.14283812,22.203,#F95454
China,1986,East Asia & Pacific,21.04,6.78,2.811,69.925,66.833,68.34129268,0,0.29370256,50.73863606,12.79258648,22.874,#F95454
China,1987,East Asia & Pacific,22.43,6.86,2.826,70.171,67.069,68.58217073,0,0.323836207,51.38934306,12.83519293,23.559,#F95454
China,1988,East Asia & Pacific,23.33,6.72,2.806,70.41,67.297,68.81553659,6.35E-05,0.35415093,51.95494368,12.80323809,24.259,#F95454
China,1989,East Asia & Pacific,22.37,6.64,2.745,70.643,67.518,69.04239024,0.000286863,0.420204752,52.55239262,12.87779938,24.974,#F95454
